Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
5222030,12,62000,petrol,manual,1,5,Hyundai,i10 Magna 1.2 Petrol
5418470,9,33000,petrol,manual,1,5,Renault,Kwid RXT
5876830,7,41000,petrol,manual,1,5,Hyundai,Eon Magna +
5451210,7,59000,petrol,manual,1,5,Renault,Kwid RXT
9363640,9,61000,diesel,automatic,1,5,Tata,Zest XTA Diesel
5287510,8,65000,petrol,manual,1,5,Renault,Kwid RXT
9461860,8,65000,petrol,manual,1,5,Skoda,Rapid 1.6 MPI Style Plus
6744440,6,23000,petrol,automatic,1,5,Renault,Kwid 1.0 RXL AMT
9756520,1,39000,petrol,manual,1,5,Maruti,Suzuki Wagon R 1.0 VXI
4730930,10,32000,petrol,manual,1,5,Datsun,GO T
5762240,8,39000,petrol,manual,1,5,Renault,Kwid 1.0 RXT
7677530,7,50000,petrol+cng,manual,2,5,Honda,Brio VX Petrol+cng(outside fitted)
6809920,9,57000,petrol,automatic,1,5,Maruti,Suzuki Celerio VXI AMT
6449780,10,34000,petrol,manual,1,5,Hyundai,i10 Sportz 1.1 Petrol
9412750,5,22000,petrol,automatic,1,5,Maruti,Suzuki Celerio ZXI (O) AMT
4157980,13,60000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
4992850,7,60000,petrol,manual,2,5,Datsun,GO T
3912430,12,61000,petrol,manual,3,5,Hyundai,Eon Magna +
8987130,9,49000,diesel,manual,3,5,Hyundai,Elite i20 Sportz 1.4 CRDI
3175780,11,43000,petrol,manual,2,5,Chevrolet,Spark LT 1.0
7350130,9,61000,petrol,manual,1,5,Tata,Zest XT Petrol
6744440,13,54000,petrol,manual,1,5,Toyota,Etios VX
6024160,7,32000,petrol,manual,1,5,Hyundai,Eon Magna
6515260,8,33000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT
5222030,3,24000,petrol,manual,1,5,Renault,Kwid STD
6204230,7,28000,petrol,manual,1,5,Renault,Kwid 1.0 RXT
6580740,6,20000,petrol,manual,1,5,Renault,Kwid RXT 1.0 SCE Special
